,item_id,value,year,day,month,hour,minute,second
0,11,0.853991985321045,2017,3,4,17,0,6
1,11,0.841660976409912,2017,3,4,17,0,7
2,11,0.857618987560272,2017,3,4,17,0,8
3,11,0.823987007141113,2017,3,4,17,0,9
4,11,0.801433980464935,2017,3,4,17,0,10
5,11,0.796091973781586,2017,3,4,17,0,11
6,11,0.877865016460419,2017,3,4,17,0,12
7,11,0.757513999938965,2017,3,4,17,0,13
8,11,0.821546971797943,2017,3,4,17,0,14
9,11,0.816402971744537,2017,3,4,17,0,15
10,11,0.821480989456177,2017,3,4,17,0,16
11,11,0.756326973438263,2017,3,4,17,0,17
12,11,0.846409022808075,2017,3,4,17,0,18
13,11,0.841198980808258,2017,3,4,17,0,19
14,11,0.814095020294189,2017,3,4,17,0,20
15,11,0.738059997558594,2017,3,4,17,0,21
16,11,0.717616975307465,2017,3,4,17,0,22
17,11,0.852607011795044,2017,3,4,17,0,23
18,11,0.833747029304504,2017,3,4,17,0,24
19,11,0.930489003658295,2017,3,4,17,0,25
20,11,0.82082200050354,2017,3,4,17,0,26
21,11,0.909518003463745,2017,3,4,17,0,27
22,11,0.70251601934433,2017,3,4,17,0,28
23,11,0.768791019916534,2017,3,4,17,0,29
24,11,0.778550982475281,2017,3,4,17,0,30
25,11,0.797016024589539,2017,3,4,17,0,31
26,11,0.782046020030975,2017,3,4,17,0,32
27,11,0.791212022304535,2017,3,4,17,0,33
28,11,0.847133994102478,2017,3,4,17,0,34
29,11,0.769450008869171,2017,3,4,17,0,35
30,11,0.898374021053314,2017,3,4,17,0,36
31,11,0.813502013683319,2017,3,4,17,0,37
32,11,0.79576301574707,2017,3,4,17,0,38
33,11,0.837967991828918,2017,3,4,17,0,39
34,11,0.865796983242035,2017,3,4,17,0,40
35,11,0.867841005325317,2017,3,4,17,0,41
36,11,0.895340025424957,2017,3,4,17,0,42
37,11,0.828405976295471,2017,3,4,17,0,43
38,11,0.859992980957031,2017,3,4,17,0,44
39,11,0.794641017913818,2017,3,4,17,0,45
40,11,0.883668005466461,2017,3,4,17,0,46
41,11,0.84832102060318,2017,3,4,17,0,47
42,11,0.824118971824646,2017,3,4,17,0,48
43,11,0.762790024280548,2017,3,4,17,0,49
44,11,0.812907993793488,2017,3,4,17,0,50
45,11,0.88043600320816,2017,3,4,17,0,51
46,11,0.845221996307373,2017,3,4,17,0,52
47,11,0.838560998439789,2017,3,4,17,0,53
48,11,0.883931994438171,2017,3,4,17,0,54
49,11,0.767603993415833,2017,3,4,17,0,55
50,11,0.783232986927032,2017,3,4,17,0,56
51,11,0.791410028934479,2017,3,4,17,0,57
52,11,0.73054301738739,2017,3,4,17,0,58
53,11,0.738323986530304,2017,3,4,17,0,59
54,11,0.766285002231598,2017,3,4,17,1,0
55,11,0.75210702419281,2017,3,4,17,1,1
56,11,0.745841979980469,2017,3,4,17,1,2
57,11,0.843837022781372,2017,3,4,17,1,3
58,11,0.643626987934113,2017,3,4,17,1,4
59,11,0.825240015983582,2017,3,4,17,1,5
60,11,0.732455015182495,2017,3,4,17,1,6
61,11,0.72434401512146,2017,3,4,17,1,7
62,11,0.925477027893066,2017,3,4,17,1,8
63,11,0.808489978313446,2017,3,4,17,1,9
64,11,0.78178197145462,2017,3,4,17,1,10
65,11,0.801566004753113,2017,3,4,17,1,11
66,11,0.692228019237518,2017,3,4,17,1,12
67,11,0.717419028282166,2017,3,4,17,1,13
68,11,0.7776939868927,2017,3,4,17,1,14
69,11,0.760085999965668,2017,3,4,17,1,15
70,11,0.917827010154724,2017,3,4,17,1,16
71,11,0.938732028007507,2017,3,4,17,1,17
72,11,0.704890012741089,2017,3,4,17,1,18
73,11,0.867510974407196,2017,3,4,17,1,19
74,11,0.821942985057831,2017,3,4,17,1,20
75,11,0.844627976417542,2017,3,4,17,1,21
76,11,0.780991017818451,2017,3,4,17,1,22
77,11,0.828800976276398,2017,3,4,17,1,23
78,11,0.867642998695374,2017,3,4,17,1,24
79,11,0.778748989105225,2017,3,4,17,1,25
80,11,0.756657004356384,2017,3,4,17,1,26
81,11,0.792860984802246,2017,3,4,17,1,27
82,11,0.798137009143829,2017,3,4,17,1,28
83,11,0.787849009037018,2017,3,4,17,1,29
84,11,0.739313006401062,2017,3,4,17,1,30
85,11,0.869818985462189,2017,3,4,17,1,31
86,11,0.731862008571625,2017,3,4,17,1,32
87,11,0.82029402256012,2017,3,4,17,1,33
88,11,0.797542989253998,2017,3,4,17,1,34
89,11,0.734300971031189,2017,3,4,17,1,35
90,11,0.729487001895905,2017,3,4,17,1,36
91,11,0.902989983558655,2017,3,4,17,1,37
92,11,0.785739004611969,2017,3,4,17,1,38
93,11,0.813040018081665,2017,3,4,17,1,39
94,11,0.641846001148224,2017,3,4,17,1,40
