,x1,x2,y
249,5.372713666707567,13.506978431791254,0
433,7.16925375823296,14.3763892304416,0
19,7.059375071776553,12.824852444969304,0
322,9.139034895839432,7.700300296219847,1
332,11.570563957863383,10.088580843538455,1
56,5.348694948265879,14.978256851944703,0
301,5.104234865373743,13.201501074259792,0
229,4.202731040660023,13.840069273383383,0
331,6.923580589864766,14.2817184377815,0
132,10.945224239784295,9.214091995492067,1
137,12.00906476449672,9.452474745368592,1
423,11.810244943715322,8.123793437046682,1
335,12.527414328501138,10.77575493605107,1
25,6.204958876510707,16.451170221958723,0
464,11.393344030394776,10.856673075513616,1
281,4.636593131662487,14.722818070412014,0
247,4.938077061131946,14.492968293309746,0
237,5.61012914139382,15.74065873503877,0
117,5.394638997384586,14.974715090240837,0
42,9.975768360419009,8.21207969785142,1
220,6.304361973084951,12.647998724959091,0
176,3.4942060584006303,13.734959574467982,0
320,10.94678215429728,10.774435126473335,1
153,9.396006303685354,9.740291919099846,1
231,13.425661106787905,9.109098444930776,1
227,10.734166063085132,8.707153693207879,1
417,6.895766678498863,13.669143207312914,0
203,10.303516825111808,10.780817695866364,1
126,12.545433156405418,8.91412700188256,1
329,5.132738234881334,14.342588735535063,0
31,6.760924597225458,15.012647628835516,0
113,11.32263447354878,9.436630482109331,1
470,11.41992357722441,8.477823038602939,1
271,5.959857758487597,16.13688543536463,0
140,10.993838419084025,8.955752175845547,1
57,4.627565457579749,13.694416866545971,0
192,10.947155856955078,8.436452491821784,1
24,10.61629691495722,8.922931639234482,1
17,11.61269099327736,11.250570120759946,1
265,5.599085574807749,13.258185231510934,0
66,6.188992293403604,15.396280236329345,0
208,10.403137796602744,9.735268488781305,1
479,13.278807250790326,8.61703870251589,1
94,6.581477911954759,14.673495523085242,0
253,11.348582436043978,8.586538450628188,1
266,6.243769130475443,13.40355703973246,0
23,11.915587520318535,10.251432357949708,1
222,5.975889143058721,14.821499122516975,0
261,10.147553554066848,9.451292819341951,1
426,5.715097747703156,14.855871621585656,0
5,4.083987611974814,15.538391418047253,0
116,5.168036311231194,14.883564528496242,0
45,5.984700028807286,13.320834809821388,0
