x1,x2,is_0,is_1,is_2
-5.192085441720014,-4.2903547693350905,0,0,1
-2.9335200305095417,-5.3322701744663314,0,0,1
-0.5142172198624868,-2.6107521493804846,0,1,0
0.47149414681649127,-1.7884972055900599,0,1,0
-1.2953042339865162,-11.34913668627596,1,0,0
1.0072488650995755,-2.8684993921255835,0,1,0
0.9730768491999813,-7.271051828544229,1,0,0
1.4239182024741082,-1.6806871052698586,0,1,0
3.551977307445554,-0.9684709821508418,0,1,0
-3.8442628734779087,-3.9363719647761384,0,0,1
2.003727317783969,-8.858079950117732,1,0,0
-2.27888037152508,-8.480760354869044,1,0,0
0.47492183828729595,-8.765981508724295,1,0,0
-0.7362466557412101,-2.9055188652272133,0,0,1
0.40836271354052367,-0.2839627031156122,0,1,0
0.7206298159414652,-10.243660398472874,1,0,0
3.063982852890552,-5.903347194391724,0,0,1
-0.629859746468762,-9.172959102223308,1,0,0
-2.3907287070192758,-10.990881720640214,1,0,0
-1.9932163112920331,0.8490765497489274,0,0,1
0.32915570531522387,-1.3305078699552713,0,0,1
-1.040608049987779,-4.085353365168193,0,0,1
0.8210478027982794,-1.7817533182723881,0,1,0
0.24227312154681835,-2.460348968099467,0,0,1
1.923802521490201,-3.441319894306231,0,1,0
-3.8293120746618468,1.0542765521933966,0,0,1
-0.4792642618854819,-10.900783742247125,1,0,0
-3.94358080421266,-3.106652072889484,0,0,1
-0.5131046038774276,-3.563333540090797,0,0,1
-3.309028084200252,-11.712003289517417,1,0,0
1.5201209141668777,1.5297976530108373,0,1,0
-2.552532252360624,0.05758844184431777,0,1,0
-1.7927556468635117,0.9011925632462923,0,1,0
1.604895641655213,-12.760926883509024,1,0,0
3.3520545906385357,-0.6435079150051928,0,1,0
-1.4594618159761878,-3.0624392531521334,0,0,1
0.28793595346765377,0.342784252417744,0,0,1
-0.01955905311340267,0.08893049740572434,0,1,0
-4.360553526667596,-6.34201955610549,0,0,1
-0.7000853130180247,-8.232924002142688,1,0,0
0.34840835688440863,-1.3304655739774345,0,1,0
0.5320527857513443,-5.944959446186207,0,1,0
-1.508944551220166,-10.47782375128569,1,0,0
