,x1,x2,y
467,11.630110305129737,8.880701399176166,1
83,10.533475512620548,9.173967255853857,1
245,5.353444949472481,16.98088376273836,0
165,11.176430296872546,9.68888102054406,1
163,5.409979532353162,13.76771366148991,0
199,11.612316866226598,9.952431712582278,1
228,5.555422685437265,15.21585691664998,0
74,4.8348484903742,13.938653079943068,0
478,11.76570928582191,9.405334824740514,1
358,5.685629987398361,12.835966409935288,0
250,5.961720072278899,12.497674440786009,0
119,4.918376274717851,14.474694506882964,0
310,4.971528898467911,13.179166592534347,0
299,9.97828911727616,8.698776970069595,1
255,10.720317775807471,7.476734309837443,1
354,6.776697361717841,13.440032277797032,0
399,11.986201936385516,8.4029853934324,1
225,11.079241432600302,9.731264386327338,1
353,9.60058989915655,8.24894722301363,1
234,11.374361269549372,8.558892782135286,1
382,10.004035874193743,10.033519059563387,1
274,5.845561717314567,15.56785735043117,0
36,6.443518131698467,15.074224232149382,0
196,11.638453399843907,10.9900818017219,1
139,4.580855628383981,14.070375918065135,0
364,7.582826915626827,14.295978148120472,0
244,3.699330567411396,14.234200720699526,0
439,5.365533631317277,13.012931414183893,0
286,8.283022484229505,8.925582396437736,1
59,6.091339407283982,14.18788568349187,0
111,10.939751176526734,7.549102160837501,1
89,6.593221516128188,14.113657214646604,0
436,10.42470960047788,10.86103433239614,1
6,8.508264627043786,8.182982007485073,1
360,9.201188878266798,10.475921574444731,1
346,10.40873013738828,9.552460044311708,1
338,6.475761405912457,14.100776066185317,0
158,11.23963162889256,8.07556063785114,1
150,6.002167231649745,14.22801984805465,0
177,6.431619000080107,13.029850279714788,0
393,4.632375736374893,14.764761111666587,0
184,10.267063344493913,9.086307490647446,1
449,11.849515047276736,10.3355151217605,1
10,4.511766808704409,13.064507972068071,0
380,10.711020436616248,7.873351354213879,1
103,6.544279330242079,16.17013123661887,0
81,5.583390013005194,13.09203655852921,0
38,11.250365952950917,8.929639153506413,1
314,5.950415794690029,13.51222805959219,0
167,10.520548227630831,8.130032893490757,1
469,4.467108205288135,14.636412614494414,0
296,11.17100819519098,9.026313811111695,1
474,7.807904715928109,13.452416310793591,0
198,5.604604557972503,13.203003667192842,0
297,5.597200188746289,14.378041979457524,0
416,5.275387266183667,13.458437326927124,0
146,5.425740817929315,14.562261938482356,0
392,10.434990040362129,9.37901337730762,1
147,5.877984576958861,15.042537467926053,0
447,11.20204289880479,8.501128641292071,1
287,6.568525620896487,13.68381094048634,0
123,11.166675891648154,8.224494330602226,1
368,9.89884579957118,9.595812869899811,1
96,5.979737807758071,13.61559484154362,0
143,10.056675881060173,7.628192657339215,1
239,4.555798068984332,14.734307026783924,0
442,9.990304306912495,8.854090342855901,1
97,11.146361335384132,9.4723285269637,1
407,10.637221533090727,8.608436396959757,1
122,4.653178322130333,14.946766056147183,0
183,4.357217828375392,15.17857654320352,0
202,10.457186106652037,10.028886488792438,1
246,11.46091835890779,9.20376128723468,1
305,7.246717328281729,12.880613137933851,0
298,11.05147536439047,8.502219816190433,1
351,10.36712043668669,8.592175703019565,1
386,10.535615867094965,9.357177756000402,1
395,7.0959958274519535,13.742444377875096,0
284,4.887735150993301,14.477173185730718,0
125,9.75778131827913,9.692875693127936,1
302,5.398429894872925,14.61782716766049,0
223,5.073719058185255,14.371637185858608,0
418,5.502453500322197,13.959610900559454,0
219,10.821901228592088,8.552996193008129,1
129,10.121551346989865,9.68018714236454,1
420,11.175754382268758,8.001504485340517,1
289,5.8947925820404565,15.087897845184768,0
444,5.705148850948609,13.961707245682875,0
376,10.976306588080508,7.821512573763006,1
291,6.3000547540054015,13.950447839555286,0
355,11.50971330508636,10.42144588361345,1
294,11.26577451789598,9.314334052942574,1
396,4.289915733812006,14.457575832017866,0
340,4.417805375654661,13.926213360307797,0
112,11.31840553466549,8.564589349054748,1
179,5.456816071044428,14.664765452963282,0
307,11.736897743816428,8.057711938777924,1
432,8.897979719287354,10.676333631245589,1
487,4.605270662376014,14.574961928744017,0
481,9.287444497456256,10.509427582416162,1
